project_id,project_name,source_path,device_type,has_CER,has_SOTA,has_literature_pack,has_fulltext_pdf,has_DOCX_tables,has_PDF_tables,has_clinical_data_tables,has_endpoint_tables,has_AE_tables,has_followup_data,has_subgroup_data,has_denominator_examples,has_benchmark_data,has_claim_support_data,has_validation_value,dataset_role,selection_reason,evidence_basis,confidence,notes
PROJECT_001_项目复盘,001 项目复盘,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_001_项目复盘,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,no,unknown,exclude,excluded_master_index,,high,"files=1997, pdf=1450, docx=385, cer=118, sota=562"
PROJECT_002_上海博动,002 上海博动,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_上海博动,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,medium,stress,"score=16, rich_clinical_data",,high,"files=2830, pdf=1738, docx=800, cer=44, sota=26"
PROJECT_003_上海谱创,003 上海谱创,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,high,calibration,"score=18, rich_clinical_data",,high,"files=6150, pdf=3278, docx=2280, cer=1285, sota=579"
PROJECT_004_久心科技,004 久心科技,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_久心科技,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,maybe,yes,yes,high,special_evidence,"score=15, rich_clinical_data",,high,"files=432, pdf=323, docx=86, cer=426, sota=291"
PROJECT_005_北京海杰亚,005 北京海杰亚,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_005_北京海杰亚,ablation_system,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,unknown,unknown,,,high,"files=1435, pdf=997, docx=325, cer=32, sota=651"
PROJECT_006_广州瑞博,006 广州瑞博,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_广州瑞博,medical_device,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=401, pdf=252, docx=101, cer=228, sota=154"
PROJECT_007_力康华耀,007 力康华耀,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_力康华耀,medical_device,yes,yes,maybe,maybe,yes,no,maybe,no,yes,yes,no,maybe,no,no,unknown,unknown,,,high,"files=35, pdf=8, docx=15, cer=2, sota=6"
PROJECT_008_南京德文,008 南京德文,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_008_南京德文,medical_device,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=1369, pdf=604, docx=458, cer=4, sota=11"
PROJECT_009_上海形状,009 上海形状,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_009_上海形状,medical_device,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,maybe,yes,no,unknown,unknown,,,high,"files=455, pdf=385, docx=27, cer=370, sota=226"
PROJECT_010_德莱森（北京）,010 德莱森（北京）,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_010_德莱森（北京）,medical_device,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,unknown,unknown,,,high,"files=1771, pdf=1340, docx=313, cer=56, sota=4"
