document_name,file_path,clause_or_section,regulatory_topic,clinical_data_requirement,source_eligibility_rule,data_use_rule,clinical_evidence_sufficiency_rule,PMCF_or_gap_rule,BR_GSPR_rule,writer_constraint_candidate,source_quote_or_anchor,evidence_level,confidence,notes
MDR_Article61_AnnexXIV,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_02017R0745-20250110_EN_TXT.pdf,first_10_pages_scanned,clinical_evidence_sufficiency,maybe,requires_owner_verification,requires_owner_verification,yes,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MDR_Article61_AnnexXIV,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_02017R0745-20250110_EN_TXT.pdf,first_10_pages_scanned,equivalence,maybe,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MDR_Article61_AnnexXIV,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_02017R0745-20250110_EN_TXT.pdf,first_10_pages_scanned,PMCF,maybe,requires_owner_verification,requires_owner_verification,maybe,yes,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MDR_Article61_AnnexXIV,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_02017R0745-20250110_EN_TXT.pdf,first_10_pages_scanned,risk_benefit,maybe,requires_owner_verification,requires_owner_verification,maybe,no,yes,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MDR_Article61_AnnexXIV,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_02017R0745-20250110_EN_TXT.pdf,first_10_pages_scanned,data_use_eligibility,maybe,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MEDDEV_2.7-1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_meddev-2.7-1_rev4_en.pdf,first_10_pages_scanned,clinical_data_extraction,yes,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MEDDEV_2.7-1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_meddev-2.7-1_rev4_en.pdf,first_10_pages_scanned,literature_appraisal,yes,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MEDDEV_2.7-1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_meddev-2.7-1_rev4_en.pdf,first_10_pages_scanned,denominator_subgroup,maybe,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MEDDEV_2.7-1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_meddev-2.7-1_rev4_en.pdf,first_10_pages_scanned,statistical_analysis,maybe,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MEDDEV_2.7-1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_meddev-2.7-1_rev4_en.pdf,first_10_pages_scanned,safety_AE,maybe,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
MDCG_2020-6,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_guidance_sufficient_clinical_evidence_en_0.pdf,first_10_pages_scanned,sufficient_evidence,yes,requires_owner_verification,requires_owner_verification,yes,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MDCG_2020-6,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_guidance_sufficient_clinical_evidence_en_0.pdf,first_10_pages_scanned,data_eligibility,yes,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MDCG_2020-6,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_6_guidance_sufficient_clinical_evidence_en_0.pdf,first_10_pages_scanned,writer_constraint,yes,requires_owner_verification,requires_owner_verification,maybe,no,maybe,yes,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MDCG_2020-5,/Users/winstonwei/CER-RAG/Source/EU MDCG/05 MDCG 2020-5 Guidance on Clinical Evaluation - Equivalence.pdf,first_10_pages_scanned,equivalence_demonstration,yes,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MDCG_2020-5,/Users/winstonwei/CER-RAG/Source/EU MDCG/05 MDCG 2020-5 Guidance on Clinical Evaluation - Equivalence.pdf,first_10_pages_scanned,comparator_selection,maybe,requires_owner_verification,requires_owner_verification,maybe,no,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,medium,keyword_match=False
CEAR,/Users/winstonwei/CER-RAG/Source/EU MDCG/CEAR.pdf,first_10_pages_scanned,NB_assessment,yes,requires_owner_verification,requires_owner_verification,maybe,no,yes,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
CEAR,/Users/winstonwei/CER-RAG/Source/EU MDCG/CEAR.pdf,first_10_pages_scanned,data_quality,yes,requires_owner_verification,requires_owner_verification,maybe,no,maybe,yes,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
MDCG_2020-7_PMCF_Plan,/Users/winstonwei/CER-RAG/Source/EU MDCG/md_mdcg_2020_7_guidance_pmcf_plan_template_en_0.pdf,first_10_pages_scanned,PMCF_plan,yes,requires_owner_verification,requires_owner_verification,maybe,yes,maybe,maybe,auto_scanned_first_10_pages,regulatory_clause,high,keyword_match=True
